"Package","Version"
"here","1.0.2"
"readr","2.2.0"
"yaml","2.3.12"
"svglite","2.2.2"
"tidyverse","2.0.0"
"dplyr","1.2.1"
"rlang","1.2.0"
"cowplot","1.2.0"
"DEoptim","2.2-8"
"MASS","7.3-65"
"maxLik","1.5-2.2"
"numDeriv","2016.8-1.1"
"pracma","2.4.6"
"qs2","0.2.0"
"data.table","1.18.2.1"
"lubridate","1.9.5"
"magrittr","2.0.5"
"forcats","1.0.1"
"scales","1.4.0"
"DemoDecomp","1.14.1"
"gt","1.3.0"
